Name, phases, bus1, bus2, V_pri, V_sec, kVA, Conn_pri, Conn_sec, %XHL, %RHL
23,3,P150,S148,7967.4,120,1000, Delta, Wye,5,0.5
24,3,P133,S145,7967.4,120,1000, Delta, Wye,5,0.5
25,3,P115,S152,7967.4,120,1000, Delta, Wye,5,0.5
26,3,P96,S149,7967.4,120,1000, Delta, Wye,5,0.5
27,3,P80,S156,7967.4,120,1000, Delta, Wye,5,0.5
28,3,P61,S153,7967.4,120,1000, Delta, Wye,5,0.5
29,3,P43,S160,7967.4,120,1000, Delta, Wye,5,0.5
30,3,P26,S157,7967.4,120,1000, Delta, Wye,5,0.5
31,3,P94,S147,7967.4,120,1000, Delta, Wye,5,0.5
32,3,P113,S146,7967.4,120,1000, Delta, Wye,5,0.5
33,3,P148,S151,7967.4,120,1000, Delta, Wye,5,0.5
34,3,P130,S150,7967.4,120,1000, Delta, Wye,5,0.5
35,3,P24,S155,7967.4,120,1000, Delta, Wye,5,0.5
36,3,P40,S154,7967.4,120,1000, Delta, Wye,5,0.5
37,3,P78,S159,7967.4,120,1000, Delta, Wye,5,0.5
38,3,P58,S158,7967.4,120,1000, Delta, Wye,5,0.5
39,3,P109,S164,7967.4,120,1000, Delta, Wye,5,0.5
40,3,P128,S161,7967.4,120,1000, Delta, Wye,5,0.5
41,3,P21,S168,7967.4,120,1000, Delta, Wye,5,0.5
42,3,P73,S165,7967.4,120,1000, Delta, Wye,5,0.5
43,3,P91,S172,7967.4,120,1000, Delta, Wye,5,0.5
44,3,P145,S169,7967.4,120,1000, Delta, Wye,5,0.5
45,3,P89,S176,7967.4,120,1000, Delta, Wye,5,0.5
46,3,P38,S173,7967.4,120,1000, Delta, Wye,5,0.5
47,3,P56,S163,7967.4,120,1000, Delta, Wye,5,0.5
48,3,P126,S162,7967.4,120,1000, Delta, Wye,5,0.5
49,3,P142,S167,7967.4,120,1000, Delta, Wye,5,0.5
50,3,P106,S166,7967.4,120,1000, Delta, Wye,5,0.5
51,3,P19,S171,7967.4,120,1000, Delta, Wye,5,0.5
52,3,P36,S170,7967.4,120,1000, Delta, Wye,5,0.5
53,3,P52,S175,7967.4,120,1000, Delta, Wye,5,0.5
54,3,P71,S174,7967.4,120,1000, Delta, Wye,5,0.5
55,3,P17,S180,7967.4,120,1000, Delta, Wye,5,0.5
56,3,P137,S177,7967.4,120,1000, Delta, Wye,5,0.5
57,3,P122,S184,7967.4,120,1000, Delta, Wye,5,0.5
58,3,P50,S181,7967.4,120,1000, Delta, Wye,5,0.5
59,3,P86,S188,7967.4,120,1000, Delta, Wye,5,0.5
60,3,P102,S185,7967.4,120,1000, Delta, Wye,5,0.5
61,3,P14,S192,7967.4,120,1000, Delta, Wye,5,0.5
62,3,P140,S189,7967.4,120,1000, Delta, Wye,5,0.5
63,3,P65,S179,7967.4,120,1000, Delta, Wye,5,0.5
64,3,P120,S178,7967.4,120,1000, Delta, Wye,5,0.5
65,3,P48,S183,7967.4,120,1000, Delta, Wye,5,0.5
66,3,P100,S182,7967.4,120,1000, Delta, Wye,5,0.5
67,3,P30,S187,7967.4,120,1000, Delta, Wye,5,0.5
68,3,P67,S186,7967.4,120,1000, Delta, Wye,5,0.5
69,3,P32,S191,7967.4,120,1000, Delta, Wye,5,0.5
70,3,P84,S190,7967.4,120,1000, Delta, Wye,5,0.5
